transaction_id,transaction_date,transaction_amount,merchant_category,card_type,transaction_location,cardholder_age,cardholder_gender,transaction_description,account_balance,calander_income
1,14-04-2024,2618,Groceries,Visa,Florencia,67,Male,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",64424,94301
2,27-03-2024,3072,Healthcare,Discover,Vulcan,97,Male,Donec ut mauris eget massa tempor convallis.,84396,161752
3,05-08-2024,7311,Education,MasterCard,Dayuan,87,Female,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,7453,166172
4,07-04-2024,5778,Travel,MasterCard,Saint-Paul,23,Female,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",62398,175787
5,10-02-2024,449,Education,Discover,Trieste,65,Non-binary,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",79579,136547
6,04-05-2024,1687,Groceries,Discover,Chřibská,31,Female,Aliquam erat volutpat. In congue. Etiam justo.,81549,124440
7,18-12-2023,1205,Healthcare,MasterCard,Keti Bandar,79,Male,Nulla facilisi.,63610,63231
8,15-09-2024,2208,Groceries,Discover,Victoria,75,Genderqueer,Praesent id massa id nisl venenatis lacinia.,37655,182172
9,02-12-2023,1944,Groceries,Amex,Hutag,31,Male,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",99966,175816
10,11-04-2024,8289,Travel,Amex,Kobeřice,79,Male,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",95354,88600
11,03-11-2023,1248,Restaurant,Discover,Xijiadian,84,Female,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",56178,38095
12,01-11-2023,7165,Restaurant,Discover,Paurito,39,Female,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",36823,67517
13,28-09-2023,7399,Groceries,Amex,Pervoural’sk,53,Female,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,49945,51377
14,04-07-2024,7683,Restaurant,Discover,Marhanets’,73,Female,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,56837,192023
15,31-01-2024,9782,Education,MasterCard,Orange Walk,80,Male,Vivamus in felis eu sapien cursus vestibulum.,41461,104308
16,12-12-2023,1206,Healthcare,Visa,Hotsk,28,Female,Integer ac neque.,4053,49682
17,22-08-2024,9930,Travel,Discover,Weiting,19,Female,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,30571,35694
18,03-09-2024,9281,Electronics,Discover,Ivouani,79,Male,Pellentesque at nulla. Suspendisse potenti.,78387,45251
19,14-04-2024,2306,Clothing,Discover,Yongxing Chengguanzhen,62,Genderfluid,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",66101,193978
20,09-12-2023,9434,Groceries,Amex,Independencia,22,Male,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",35192,72428
21,14-02-2024,3188,Travel,Visa,Razan,33,Female,In blandit ultrices enim.,43630,73931
22,10-10-2023,8977,Restaurant,Visa,Omaha,18,Male,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,59506,28501
23,29-05-2024,6230,Entertainment,Discover,Tlogosari,57,Female,Vivamus vestibulum sagittis sapien.,97410,173577
24,11-05-2024,1228,Groceries,Discover,Santo Tomas,59,Male,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,62884,106472
25,28-01-2024,1441,Clothing,Visa,Merida,81,Female,Morbi a ipsum. Integer a nibh.,75537,196980
26,15-01-2024,9390,Restaurant,Visa,Yijiang,68,Genderfluid,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,43638,162341
27,30-08-2024,2299,Healthcare,Amex,Šentilj v Slov. Goricah,62,Female,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",78647,172553
28,02-03-2024,8454,Restaurant,MasterCard,Ustyuzhna,88,Female,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,45831,71109
29,24-06-2024,3866,Healthcare,Discover,Stepnogorsk,52,Male,Proin at turpis a pede posuere nonummy. Integer non velit.,39121,150207
30,06-11-2023,3002,Healthcare,Discover,Trondheim,64,Female,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",48700,91219
31,12-09-2024,8633,Groceries,Discover,Paraíso das Águas,77,Male,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",96910,139677
32,16-10-2023,2764,Education,Discover,Angra dos Reis,34,Male,Aenean lectus.,97491,102852
33,03-03-2024,3300,Clothing,Visa,Langkou,39,Non-binary,Aliquam erat volutpat. In congue.,59912,83137
34,13-06-2024,5120,Travel,Discover,Padangbatung,38,Female,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,79661,167384
35,19-07-2024,9897,Restaurant,Discover,Shijia,72,Female,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,63944,111429
36,19-09-2023,8582,Groceries,MasterCard,Pervomayskaya,100,Female,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,89252,161992
37,16-02-2024,503,Groceries,Discover,Muting,45,Male,Curabitur gravida nisi at nibh.,80627,88202
38,03-05-2024,9816,Entertainment,MasterCard,Bistrinci,27,Male,Integer ac neque.,55905,99220
39,15-08-2024,1104,Restaurant,Visa,Wilków,70,Male,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,93732,162850
40,21-03-2024,6379,Education,Amex,Dimayon,90,Female,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",34763,39176
41,22-02-2024,8199,Electronics,Discover,Macau,94,Agender,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,32039,25341
42,18-12-2023,4132,Entertainment,Discover,Maastricht,68,Male,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,12454,117174
43,17-07-2024,1169,Entertainment,MasterCard,Ban Mai,68,Male,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,73467,73149
44,17-09-2023,9166,Clothing,MasterCard,Pho Si Suwan,68,Female,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,14865,187405
45,10-03-2024,5528,Restaurant,Discover,Antigonish,58,Non-binary,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",45305,171543
46,06-11-2023,7729,Travel,MasterCard,Ngedhubasa,61,Female,Nulla nisl.,85237,104445
47,07-01-2024,2383,Electronics,Discover,Wolmaransstad,74,Male,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,97520,192952
48,12-12-2023,439,Travel,MasterCard,Halinów,24,Male,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",54973,106705
49,21-11-2023,6897,Education,Discover,Drezdenko,28,Genderfluid,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",54188,38387
50,10-10-2023,1970,Travel,Discover,Yélimané,83,Female,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,93760,183075
51,12-07-2024,7064,Healthcare,Visa,Bukhovo,22,Female,Donec dapibus. Duis at velit eu est congue elementum.,83007,94312
52,15-02-2024,2477,Education,Amex,Shiogama,21,Female,Ut tellus. Nulla ut erat id mauris vulputate elementum.,45211,153722
53,30-11-2023,6276,Restaurant,Amex,Cimanggu,24,Polygender,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",87999,184327
54,19-06-2024,6004,Education,Discover,Kesamben,65,Bigender,Ut tellus. Nulla ut erat id mauris vulputate elementum.,26822,52069
55,05-08-2024,9568,Restaurant,Discover,Rancanyenang,19,Male,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",39790,44611
56,16-12-2023,7728,Restaurant,Discover,Venda do Valador,90,Male,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",97961,199106
57,28-12-2023,7546,Education,Discover,Kilindoni,29,Female,Morbi non lectus.,91593,103361
58,14-07-2024,6030,Clothing,Visa,Jāndiāla Sher Khān,26,Female,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",40578,93757
59,30-09-2023,8857,Groceries,MasterCard,Wafang,66,Male,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,7466,120618
60,11-04-2024,9296,Education,Discover,Hengzhou,35,Male,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,64184,164728
61,28-02-2024,9372,Travel,Amex,Legok,30,Female,Nulla tellus.,56476,131469
62,19-04-2024,1852,Education,Amex,Tutayev,93,Female,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",36190,76251
63,29-06-2024,7810,Restaurant,Visa,Messina,92,Female,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",82657,164823
64,22-05-2024,164,Healthcare,MasterCard,Xinhe,91,Male,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",70499,43021
65,12-04-2024,839,Entertainment,Amex,Nozdrzec,32,Male,Donec semper sapien a libero.,56380,196570
66,09-09-2024,8151,Travel,Visa,Taketoyo,71,Genderfluid,Ut at dolor quis odio consequat varius. Integer ac leo.,41869,188127
67,10-10-2023,8464,Clothing,MasterCard,Prince Albert,25,Genderqueer,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",76908,102622
68,11-07-2024,9933,Travel,MasterCard,Shebalino,18,Male,Etiam justo. Etiam pretium iaculis justo.,98095,30964
69,30-10-2023,4477,Travel,Amex,Kapuan,51,Genderqueer,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,39016,133088
70,03-08-2024,4230,Education,Amex,Villa Ángela,98,Female,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,81841,190393
71,01-02-2024,910,Entertainment,MasterCard,Noormarkku,63,Female,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,92602,144289
72,02-10-2023,2450,Electronics,Visa,Odeleite,81,Female,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,54092,55031
73,11-01-2024,8120,Clothing,MasterCard,Risālpur,81,Male,Aenean lectus.,98710,57793
74,10-09-2024,6718,Healthcare,Discover,Tanda,53,Agender,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,90337,57803
75,02-08-2024,9834,Entertainment,Amex,Cintra,95,Female,Pellentesque ultrices mattis odio. Donec vitae nisi.,53338,64728
76,27-07-2024,3463,Entertainment,MasterCard,Rominimbang,55,Female,Mauris lacinia sapien quis libero.,13213,197583
77,29-04-2024,732,Groceries,MasterCard,Sindang,64,Female,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,87048,24437
78,17-05-2024,4870,Education,MasterCard,Goodlands,70,Non-binary,Cras in purus eu magna vulputate luctus.,86039,103363
